House_Age,METRO,REGION,BEDROOMS,ROOMS,PERSONS,Rent
82,Town,Estern,2,6,1,3146.450682
50,Others,Northern,4,6,4,5524.61055
53,Others,Northern,4,7,2,5605.127558
67,Others,Northern,3,6,2,7411.836744
50,Central City,Northern,3,6,3,9567.554434
60,Others,Southern,3,7,2,6396.894566
59,Others,Northern,3,5,2,8156.362255
54,Central City,Western,5,9,2,8876.420077
53,Town,Western,3,7,3,10381.08845
52,Town,Western,4,9,4,13682.73981
67,Central City,Western,5,9,1,12149.42178
55,Village,Estern,3,6,3,8981.362255
57,Village,Western,3,9,4,6038.460891
84,Village,Southern,2,5,1,10346.08845
55,Others,Southern,2,6,2,2374.051023
74,Others,Southern,2,4,2,1821.450682
67,Others,Southern,2,6,2,10125.41328
70,Others,Southern,3,7,2,8867.195589
59,Village,Western,3,7,2,10778.80443
62,Town,Western,2,6,2,10565.15477
32,Central City,Northern,4,7,6,5200.343542
54,Village,Northern,4,10,2,13746.44729
25,Village,Northern,3,6,1,3697.743201
41,Village,Northern,3,7,3,4746.751705
50,Others,Northern,3,10,3,9380.887767
15,Village,Northern,2,7,2,5615.960891
54,Town,Northern,3,7,2,10351.92178
40,Village,Northern,5,9,2,6319.294225
26,Village,Northern,3,6,2,7052.153069
50,Central City,Northern,3,6,2,19060.98472
60,Central City,Western,4,8,3,6511.636062
39,Others,Southern,3,5,1,7616.678581
64,Central City,Southern,3,6,3,21288.88608
52,Town,Northern,3,7,4,7745.170077
71,Central City,Northern,3,7,2,15036.54763
72,Town,Estern,4,8,2,7183.503411
34,Central City,Estern,2,4,5,28078.22283
64,Central City,Western,2,4,2,3460.14286
53,Central City,Western,3,5,1,3686.234698
45,Central City,Western,3,5,3,4580.501705
59,Village,Western,4,9,3,7778.503411
33,Central City,Western,3,5,3,5095.760209
50,Central City,Western,4,6,4,6243.302728
65,Village,Southern,3,6,2,4325.401364
52,Central City,Northern,3,6,2,17908.75853
82,Central City,Western,2,4,1,4349.093542
51,Village,Southern,3,5,3,6254.811232
60,Central City,Western,3,6,2,5828.044225
64,Town,Western,3,7,2,9986.04593
56,Others,Western,3,8,2,5901.794225
43,Village,Western,4,8,4,11401.60546
40,Village,Western,3,7,2,10890.25512
38,Others,Western,4,8,2,11191.08845
28,Central City,Northern,3,5,2,11407.69729
60,Central City,Northern,4,7,2,9287.870759
43,Village,Northern,4,8,1,5630.960891
66,Others,Western,4,8,1,10483.58845
66,Village,Northern,4,7,2,12035.61396
58,Town,Estern,5,10,2,23934.76194
44,Town,Estern,5,11,5,41797.27046
57,Others,Estern,4,7,2,10002.7126
39,Others,Estern,3,6,10,11084.79593
54,Village,Southern,6,13,3,15287.88267
76,Village,Southern,3,8,2,10595.25512
25,Village,Southern,3,6,4,5420.760209
37,Village,Southern,3,6,4,5365.027217
50,Central City,Estern,2,4,2,6168.144566
60,Village,Southern,5,10,2,17094.54934
40,Central City,Southern,0,2,1,8233.503411
39,Central City,Western,4,9,3,14678.98981
50,Central City,Western,3,7,2,7154.653069
36,Central City,Northern,3,6,2,4026.076535
52,Town,Northern,5,10,2,12066.08845
35,Village,Northern,3,5,2,9294.537426
35,Others,Western,3,5,4,6679.236403
41,Others,Western,4,9,5,7086.994907
71,Central City,Southern,4,7,1,6412.153069
9,Central City,Southern,4,7,-6,15808.91669
31,Central City,Southern,2,4,2,12496.03063
34,Central City,Southern,2,4,2,10619.83845
57,Village,Southern,1,3,1,8253.503411
65,Village,Western,3,5,1,28048.38099
36,Village,Western,2,5,2,8447.82824
56,Village,Western,4,9,5,13781.13097
58,Central City,Southern,4,8,3,18313.80105
58,Village,Northern,3,5,2,4263.418372
28,Village,Northern,3,5,3,4275.085039
62,Village,Northern,4,9,3,6890.069736
66,Village,Estern,1,4,1,5156.277217
42,Village,Western,4,7,4,10094.53743
72,Village,Western,3,6,2,8116.678581
65,Village,Western,3,7,2,6217.886062
58,Central City,Western,3,5,1,5482.785721
41,Central City,Northern,4,8,5,6483.460891
84,Central City,Northern,3,7,2,1894.108845
57,Village,Western,3,6,2,6192.153069
65,Others,Southern,2,4,2,8774.2211
32,Central City,Northern,3,7,1,5104.61055
37,Central City,Northern,4,7,1,11985.25512
56,Village,Northern,4,8,4,8891.362255
30,Central City,Northern,3,5,3,3900.401364
73,Central City,Southern,4,6,3,8378.920077
40,Town,Southern,5,9,5,13727.79763
70,Town,Northern,3,6,1,22619.9201
56,Central City,Northern,4,8,3,8484.379263
49,Village,Northern,4,9,4,9474.79593
49,Village,Northern,4,11,4,15870.54084
44,Others,Northern,3,6,2,5545.127558
41,Others,Southern,4,8,5,28126.97283
76,Others,Southern,3,6,2,5172.268713
63,Others,Western,3,7,2,9481.304434
57,Others,Western,3,5,1,6520.960891
68,Village,Estern,3,7,2,15728.199
61,Others,Estern,3,6,2,9976.04593
52,Town,Western,3,7,2,7850.687085
88,Central City,Western,2,5,1,4778.418372
38,Village,Western,2,4,1,4320.602046
